id,開始日,終了日,職種,都道府県,労務単価
0,2015-02-01,2016-01-31,特殊作業員,北海道,16700
1,2015-02-01,2016-01-31,普通作業員,北海道,13800
2,2015-02-01,2016-01-31,軽作業員,北海道,11500
3,2015-02-01,2016-01-31,造園工,北海道,16900
4,2015-02-01,2016-01-31,法面工,北海道,20200
5,2015-02-01,2016-01-31,とび工,北海道,18200
6,2015-02-01,2016-01-31,石工,北海道,
7,2015-02-01,2016-01-31,ブロック工,北海道,
8,2015-02-01,2016-01-31,電工,北海道,17700
9,2015-02-01,2016-01-31,鉄筋工,北海道,18600
10,2015-02-01,2016-01-31,鉄骨工,北海道,19100
11,2015-02-01,2016-01-31,塗装工,北海道,18600
12,2015-02-01,2016-01-31,溶接工,北海道,20400
13,2015-02-01,2016-01-31,運転手（特殊）,北海道,16600
14,2015-02-01,2016-01-31,運転手（一般）,北海道,14000
15,2015-02-01,2016-01-31,潜かん工,北海道,27400
16,2015-02-01,2016-01-31,潜かん世話役,北海道,32400
17,2015-02-01,2016-01-31,さく岩工,北海道,21600
18,2015-02-01,2016-01-31,トンネル特殊工,北海道,25500
19,2015-02-01,2016-01-31,トンネル作業員,北海道,21400
20,2015-02-01,2016-01-31,トンネル世話役,北海道,28700
21,2015-02-01,2016-01-31,橋りょう特殊工,北海道,24000
22,2015-02-01,2016-01-31,橋りょう塗装工,北海道,24300
23,2015-02-01,2016-01-31,橋りょう世話役,北海道,29500
24,2015-02-01,2016-01-31,土木一般世話役,北海道,18800
25,2015-02-01,2016-01-31,高級船員,北海道,23300
26,2015-02-01,2016-01-31,普通船員,北海道,18500
27,2015-02-01,2016-01-31,潜水士,北海道,32000
28,2015-02-01,2016-01-31,潜水連絡員,北海道,20900
29,2015-02-01,2016-01-31,潜水送気員,北海道,20000
30,2015-02-01,2016-01-31,山林砂防工,北海道,
31,2015-02-01,2016-01-31,軌道工,北海道,23000
32,2015-02-01,2016-01-31,型わく工,北海道,17900
33,2015-02-01,2016-01-31,大工,北海道,19200
34,2015-02-01,2016-01-31,左官,北海道,19200
35,2015-02-01,2016-01-31,配管工,北海道,17300
36,2015-02-01,2016-01-31,はつり工,北海道,19400
37,2015-02-01,2016-01-31,防水工,北海道,20100
38,2015-02-01,2016-01-31,板金工,北海道,19300
39,2015-02-01,2016-01-31,タイル工,北海道,20400
40,2015-02-01,2016-01-31,サッシ工,北海道,19300
41,2015-02-01,2016-01-31,内装工,北海道,18800
42,2015-02-01,2016-01-31,ガラス工,北海道,17000
43,2015-02-01,2016-01-31,建具工,北海道,16900
44,2015-02-01,2016-01-31,ダクト工,北海道,17200
45,2015-02-01,2016-01-31,保温工,北海道,19900
46,2015-02-01,2016-01-31,設備機械工,北海道,19200
47,2015-02-01,2016-01-31,交通誘導警備員A,北海道,10600
48,2015-02-01,2016-01-31,交通誘導警備員B,北海道,9100
49,2015-02-01,2016-01-31,特殊作業員,青森県,19700
50,2015-02-01,2016-01-31,普通作業員,青森県,14600
51,2015-02-01,2016-01-31,軽作業員,青森県,11000
52,2015-02-01,2016-01-31,造園工,青森県,16900
53,2015-02-01,2016-01-31,法面工,青森県,20900
54,2015-02-01,2016-01-31,とび工,青森県,19200
55,2015-02-01,2016-01-31,石工,青森県,
56,2015-02-01,2016-01-31,ブロック工,青森県,
57,2015-02-01,2016-01-31,電工,青森県,16300
58,2015-02-01,2016-01-31,鉄筋工,青森県,20300
59,2015-02-01,2016-01-31,鉄骨工,青森県,18100
60,2015-02-01,2016-01-31,塗装工,青森県,17200
61,2015-02-01,2016-01-31,溶接工,青森県,19400
62,2015-02-01,2016-01-31,運転手（特殊）,青森県,21300
63,2015-02-01,2016-01-31,運転手（一般）,青森県,19400
64,2015-02-01,2016-01-31,潜かん工,青森県,27300
65,2015-02-01,2016-01-31,潜かん世話役,青森県,32400
66,2015-02-01,2016-01-31,さく岩工,青森県,22600
67,2015-02-01,2016-01-31,トンネル特殊工,青森県,26500
68,2015-02-01,2016-01-31,トンネル作業員,青森県,21000
69,2015-02-01,2016-01-31,トンネル世話役,青森県,29300
70,2015-02-01,2016-01-31,橋りょう特殊工,青森県,23900
71,2015-02-01,2016-01-31,橋りょう塗装工,青森県,25700
72,2015-02-01,2016-01-31,橋りょう世話役,青森県,29000
73,2015-02-01,2016-01-31,土木一般世話役,青森県,22400
74,2015-02-01,2016-01-31,高級船員,青森県,24300
75,2015-02-01,2016-01-31,普通船員,青森県,19100
76,2015-02-01,2016-01-31,潜水士,青森県,37300
77,2015-02-01,2016-01-31,潜水連絡員,青森県,23100
78,2015-02-01,2016-01-31,潜水送気員,青森県,23400
79,2015-02-01,2016-01-31,山林砂防工,青森県,
80,2015-02-01,2016-01-31,軌道工,青森県,25100
81,2015-02-01,2016-01-31,型わく工,青森県,23300
82,2015-02-01,2016-01-31,大工,青森県,20500
83,2015-02-01,2016-01-31,左官,青森県,20700
84,2015-02-01,2016-01-31,配管工,青森県,17000
85,2015-02-01,2016-01-31,はつり工,青森県,19100
86,2015-02-01,2016-01-31,防水工,青森県,18100
87,2015-02-01,2016-01-31,板金工,青森県,19100
88,2015-02-01,2016-01-31,タイル工,青森県,18700
89,2015-02-01,2016-01-31,サッシ工,青森県,21100
90,2015-02-01,2016-01-31,内装工,青森県,18800
91,2015-02-01,2016-01-31,ガラス工,青森県,18100
92,2015-02-01,2016-01-31,建具工,青森県,15600
93,2015-02-01,2016-01-31,ダクト工,青森県,15700
94,2015-02-01,2016-01-31,保温工,青森県,18800
95,2015-02-01,2016-01-31,設備機械工,青森県,17900
96,2015-02-01,2016-01-31,交通誘導警備員A,青森県,10000
97,2015-02-01,2016-01-31,交通誘導警備員B,青森県,8800
98,2015-02-01,2016-01-31,特殊作業員,岩手県,19700
99,2015-02-01,2016-01-31,普通作業員,岩手県,16400
100,2015-02-01,2016-01-31,軽作業員,岩手県,12000
101,2015-02-01,2016-01-31,造園工,岩手県,17700
102,2015-02-01,2016-01-31,法面工,岩手県,23200
103,2015-02-01,2016-01-31,とび工,岩手県,19300
104,2015-02-01,2016-01-31,石工,岩手県,
105,2015-02-01,2016-01-31,ブロック工,岩手県,
106,2015-02-01,2016-01-31,電工,岩手県,17200
107,2015-02-01,2016-01-31,鉄筋工,岩手県,21300
108,2015-02-01,2016-01-31,鉄骨工,岩手県,19100
109,2015-02-01,2016-01-31,塗装工,岩手県,18800
110,2015-02-01,2016-01-31,溶接工,岩手県,20500
111,2015-02-01,2016-01-31,運転手（特殊）,岩手県,21800
112,2015-02-01,2016-01-31,運転手（一般）,岩手県,18500
113,2015-02-01,2016-01-31,潜かん工,岩手県,28700
114,2015-02-01,2016-01-31,潜かん世話役,岩手県,34000
115,2015-02-01,2016-01-31,さく岩工,岩手県,23700
116,2015-02-01,2016-01-31,トンネル特殊工,岩手県,29000
117,2015-02-01,2016-01-31,トンネル作業員,岩手県,22200
118,2015-02-01,2016-01-31,トンネル世話役,岩手県,30800
119,2015-02-01,2016-01-31,橋りょう特殊工,岩手県,25200
120,2015-02-01,2016-01-31,橋りょう塗装工,岩手県,27000
121,2015-02-01,2016-01-31,橋りょう世話役,岩手県,31700
122,2015-02-01,2016-01-31,土木一般世話役,岩手県,22400
123,2015-02-01,2016-01-31,高級船員,岩手県,24300
124,2015-02-01,2016-01-31,普通船員,岩手県,19100
125,2015-02-01,2016-01-31,潜水士,岩手県,40700
126,2015-02-01,2016-01-31,潜水連絡員,岩手県,25200
127,2015-02-01,2016-01-31,潜水送気員,岩手県,25800
128,2015-02-01,2016-01-31,山林砂防工,岩手県,
129,2015-02-01,2016-01-31,軌道工,岩手県,27400
130,2015-02-01,2016-01-31,型わく工,岩手県,24700
131,2015-02-01,2016-01-31,大工,岩手県,22200
132,2015-02-01,2016-01-31,左官,岩手県,23200
133,2015-02-01,2016-01-31,配管工,岩手県,18200
134,2015-02-01,2016-01-31,はつり工,岩手県,20100
135,2015-02-01,2016-01-31,防水工,岩手県,19100
136,2015-02-01,2016-01-31,板金工,岩手県,20300
137,2015-02-01,2016-01-31,タイル工,岩手県,19500
138,2015-02-01,2016-01-31,サッシ工,岩手県,22100
139,2015-02-01,2016-01-31,内装工,岩手県,19800
140,2015-02-01,2016-01-31,ガラス工,岩手県,19000
141,2015-02-01,2016-01-31,建具工,岩手県,16400
142,2015-02-01,2016-01-31,ダクト工,岩手県,16600
143,2015-02-01,2016-01-31,保温工,岩手県,18800
144,2015-02-01,2016-01-31,設備機械工,岩手県,17900
145,2015-02-01,2016-01-31,交通誘導警備員A,岩手県,11200
146,2015-02-01,2016-01-31,交通誘導警備員B,岩手県,9800
147,2015-02-01,2016-01-31,特殊作業員,宮城県,21100
148,2015-02-01,2016-01-31,普通作業員,宮城県,16400
149,2015-02-01,2016-01-31,軽作業員,宮城県,12900
150,2015-02-01,2016-01-31,造園工,宮城県,18700
151,2015-02-01,2016-01-31,法面工,宮城県,24000
152,2015-02-01,2016-01-31,とび工,宮城県,22100
153,2015-02-01,2016-01-31,石工,宮城県,
154,2015-02-01,2016-01-31,ブロック工,宮城県,
155,2015-02-01,2016-01-31,電工,宮城県,17600
156,2015-02-01,2016-01-31,鉄筋工,宮城県,25900
157,2015-02-01,2016-01-31,鉄骨工,宮城県,21800
158,2015-02-01,2016-01-31,塗装工,宮城県,22200
159,2015-02-01,2016-01-31,溶接工,宮城県,22200
160,2015-02-01,2016-01-31,運転手（特殊）,宮城県,23200
161,2015-02-01,2016-01-31,運転手（一般）,宮城県,20800
162,2015-02-01,2016-01-31,潜かん工,宮城県,28800
163,2015-02-01,2016-01-31,潜かん世話役,宮城県,34100
164,2015-02-01,2016-01-31,さく岩工,宮城県,23800
165,2015-02-01,2016-01-31,トンネル特殊工,宮城県,30900
166,2015-02-01,2016-01-31,トンネル作業員,宮城県,22200
167,2015-02-01,2016-01-31,トンネル世話役,宮城県,30900
168,2015-02-01,2016-01-31,橋りょう特殊工,宮城県,25200
169,2015-02-01,2016-01-31,橋りょう塗装工,宮城県,27100
170,2015-02-01,2016-01-31,橋りょう世話役,宮城県,34800
171,2015-02-01,2016-01-31,土木一般世話役,宮城県,22700
172,2015-02-01,2016-01-31,高級船員,宮城県,24300
173,2015-02-01,2016-01-31,普通船員,宮城県,19100
174,2015-02-01,2016-01-31,潜水士,宮城県,44800
175,2015-02-01,2016-01-31,潜水連絡員,宮城県,27700
176,2015-02-01,2016-01-31,潜水送気員,宮城県,28100
177,2015-02-01,2016-01-31,山林砂防工,宮城県,
178,2015-02-01,2016-01-31,軌道工,宮城県,30300
179,2015-02-01,2016-01-31,型わく工,宮城県,28000
180,2015-02-01,2016-01-31,大工,宮城県,24400
181,2015-02-01,2016-01-31,左官,宮城県,25300
182,2015-02-01,2016-01-31,配管工,宮城県,19000
183,2015-02-01,2016-01-31,はつり工,宮城県,20100
184,2015-02-01,2016-01-31,防水工,宮城県,21200
185,2015-02-01,2016-01-31,板金工,宮城県,22100
186,2015-02-01,2016-01-31,タイル工,宮城県,19600
187,2015-02-01,2016-01-31,サッシ工,宮城県,24000
188,2015-02-01,2016-01-31,内装工,宮城県,21800
189,2015-02-01,2016-01-31,ガラス工,宮城県,19100
190,2015-02-01,2016-01-31,建具工,宮城県,16400
191,2015-02-01,2016-01-31,ダクト工,宮城県,16900
192,2015-02-01,2016-01-31,保温工,宮城県,18800
193,2015-02-01,2016-01-31,設備機械工,宮城県,17900
194,2015-02-01,2016-01-31,交通誘導警備員A,宮城県,12300
195,2015-02-01,2016-01-31,交通誘導警備員B,宮城県,10600
196,2015-02-01,2016-01-31,特殊作業員,秋田県,18700
197,2015-02-01,2016-01-31,普通作業員,秋田県,14700
198,2015-02-01,2016-01-31,軽作業員,秋田県,11800
199,2015-02-01,2016-01-31,造園工,秋田県,17500
200,2015-02-01,2016-01-31,法面工,秋田県,21000
201,2015-02-01,2016-01-31,とび工,秋田県,18900
202,2015-02-01,2016-01-31,石工,秋田県,
203,2015-02-01,2016-01-31,ブロック工,秋田県,
204,2015-02-01,2016-01-31,電工,秋田県,16600
205,2015-02-01,2016-01-31,鉄筋工,秋田県,20900
206,2015-02-01,2016-01-31,鉄骨工,秋田県,18700
207,2015-02-01,2016-01-31,塗装工,秋田県,18600
208,2015-02-01,2016-01-31,溶接工,秋田県,19900
209,2015-02-01,2016-01-31,運転手（特殊）,秋田県,20500
210,2015-02-01,2016-01-31,運転手（一般）,秋田県,19800
211,2015-02-01,2016-01-31,潜かん工,秋田県,27700
212,2015-02-01,2016-01-31,潜かん世話役,秋田県,32800
213,2015-02-01,2016-01-31,さく岩工,秋田県,22900
214,2015-02-01,2016-01-31,トンネル特殊工,秋田県,26900
215,2015-02-01,2016-01-31,トンネル作業員,秋田県,21300
216,2015-02-01,2016-01-31,トンネル世話役,秋田県,29700
217,2015-02-01,2016-01-31,橋りょう特殊工,秋田県,24300
218,2015-02-01,2016-01-31,橋りょう塗装工,秋田県,26100
219,2015-02-01,2016-01-31,橋りょう世話役,秋田県,30000
220,2015-02-01,2016-01-31,土木一般世話役,秋田県,23300
221,2015-02-01,2016-01-31,高級船員,秋田県,24300
222,2015-02-01,2016-01-31,普通船員,秋田県,19100
223,2015-02-01,2016-01-31,潜水士,秋田県,38600
224,2015-02-01,2016-01-31,潜水連絡員,秋田県,23700
225,2015-02-01,2016-01-31,潜水送気員,秋田県,24100
226,2015-02-01,2016-01-31,山林砂防工,秋田県,
227,2015-02-01,2016-01-31,軌道工,秋田県,25400
228,2015-02-01,2016-01-31,型わく工,秋田県,20900
229,2015-02-01,2016-01-31,大工,秋田県,22700
230,2015-02-01,2016-01-31,左官,秋田県,21000
231,2015-02-01,2016-01-31,配管工,秋田県,16200
232,2015-02-01,2016-01-31,はつり工,秋田県,19300
233,2015-02-01,2016-01-31,防水工,秋田県,18700
234,2015-02-01,2016-01-31,板金工,秋田県,19000
235,2015-02-01,2016-01-31,タイル工,秋田県,18900
236,2015-02-01,2016-01-31,サッシ工,秋田県,21300
237,2015-02-01,2016-01-31,内装工,秋田県,18900
238,2015-02-01,2016-01-31,ガラス工,秋田県,18400
239,2015-02-01,2016-01-31,建具工,秋田県,15600
240,2015-02-01,2016-01-31,ダクト工,秋田県,15800
241,2015-02-01,2016-01-31,保温工,秋田県,19000
242,2015-02-01,2016-01-31,設備機械工,秋田県,17900
243,2015-02-01,2016-01-31,交通誘導警備員A,秋田県,10100
244,2015-02-01,2016-01-31,交通誘導警備員B,秋田県,8700
245,2015-02-01,2016-01-31,特殊作業員,山形県,18700
246,2015-02-01,2016-01-31,普通作業員,山形県,14700
247,2015-02-01,2016-01-31,軽作業員,山形県,12400
248,2015-02-01,2016-01-31,造園工,山形県,17800
249,2015-02-01,2016-01-31,法面工,山形県,20000
250,2015-02-01,2016-01-31,とび工,山形県,19000
251,2015-02-01,2016-01-31,石工,山形県,
252,2015-02-01,2016-01-31,ブロック工,山形県,
253,2015-02-01,2016-01-31,電工,山形県,17600
254,2015-02-01,2016-01-31,鉄筋工,山形県,21200
255,2015-02-01,2016-01-31,鉄骨工,山形県,19400
256,2015-02-01,2016-01-31,塗装工,山形県,20600
257,2015-02-01,2016-01-31,溶接工,山形県,20800
258,2015-02-01,2016-01-31,運転手（特殊）,山形県,19300
259,2015-02-01,2016-01-31,運転手（一般）,山形県,17600
260,2015-02-01,2016-01-31,潜かん工,山形県,27600
261,2015-02-01,2016-01-31,潜かん世話役,山形県,32700
262,2015-02-01,2016-01-31,さく岩工,山形県,22800
263,2015-02-01,2016-01-31,トンネル特殊工,山形県,28900
264,2015-02-01,2016-01-31,トンネル作業員,山形県,21200
265,2015-02-01,2016-01-31,トンネル世話役,山形県,29500
266,2015-02-01,2016-01-31,橋りょう特殊工,山形県,24200
267,2015-02-01,2016-01-31,橋りょう塗装工,山形県,25900
268,2015-02-01,2016-01-31,橋りょう世話役,山形県,29400
269,2015-02-01,2016-01-31,土木一般世話役,山形県,21700
270,2015-02-01,2016-01-31,高級船員,山形県,24300
271,2015-02-01,2016-01-31,普通船員,山形県,19900
272,2015-02-01,2016-01-31,潜水士,山形県,38800
273,2015-02-01,2016-01-31,潜水連絡員,山形県,23900
274,2015-02-01,2016-01-31,潜水送気員,山形県,24300
275,2015-02-01,2016-01-31,山林砂防工,山形県,
276,2015-02-01,2016-01-31,軌道工,山形県,23700
277,2015-02-01,2016-01-31,型わく工,山形県,21200
278,2015-02-01,2016-01-31,大工,山形県,19800
279,2015-02-01,2016-01-31,左官,山形県,20600
280,2015-02-01,2016-01-31,配管工,山形県,18300
281,2015-02-01,2016-01-31,はつり工,山形県,19200
282,2015-02-01,2016-01-31,防水工,山形県,20800
283,2015-02-01,2016-01-31,板金工,山形県,19800
284,2015-02-01,2016-01-31,タイル工,山形県,18800
285,2015-02-01,2016-01-31,サッシ工,山形県,20900
286,2015-02-01,2016-01-31,内装工,山形県,20000
287,2015-02-01,2016-01-31,ガラス工,山形県,18300
288,2015-02-01,2016-01-31,建具工,山形県,15600
289,2015-02-01,2016-01-31,ダクト工,山形県,17600
290,2015-02-01,2016-01-31,保温工,山形県,18900
291,2015-02-01,2016-01-31,設備機械工,山形県,17900
292,2015-02-01,2016-01-31,交通誘導警備員A,山形県,11400
293,2015-02-01,2016-01-31,交通誘導警備員B,山形県,9800
294,2015-02-01,2016-01-31,特殊作業員,福島県,21000
295,2015-02-01,2016-01-31,普通作業員,福島県,16300
296,2015-02-01,2016-01-31,軽作業員,福島県,14000
297,2015-02-01,2016-01-31,造園工,福島県,18300
298,2015-02-01,2016-01-31,法面工,福島県,23100
299,2015-02-01,2016-01-31,とび工,福島県,21700
300,2015-02-01,2016-01-31,石工,福島県,
301,2015-02-01,2016-01-31,ブロック工,福島県,
302,2015-02-01,2016-01-31,電工,福島県,18000
303,2015-02-01,2016-01-31,鉄筋工,福島県,22700
304,2015-02-01,2016-01-31,鉄骨工,福島県,20300
305,2015-02-01,2016-01-31,塗装工,福島県,21700
306,2015-02-01,2016-01-31,溶接工,福島県,21700
307,2015-02-01,2016-01-31,運転手（特殊）,福島県,19600
308,2015-02-01,2016-01-31,運転手（一般）,福島県,17600
309,2015-02-01,2016-01-31,潜かん工,福島県,28800
310,2015-02-01,2016-01-31,潜かん世話役,福島県,34000
311,2015-02-01,2016-01-31,さく岩工,福島県,23800
312,2015-02-01,2016-01-31,トンネル特殊工,福島県,28000
313,2015-02-01,2016-01-31,トンネル作業員,福島県,21900
314,2015-02-01,2016-01-31,トンネル世話役,福島県,30800
315,2015-02-01,2016-01-31,橋りょう特殊工,福島県,25200
316,2015-02-01,2016-01-31,橋りょう塗装工,福島県,27100
317,2015-02-01,2016-01-31,橋りょう世話役,福島県,30900
318,2015-02-01,2016-01-31,土木一般世話役,福島県,20400
319,2015-02-01,2016-01-31,高級船員,福島県,24300
320,2015-02-01,2016-01-31,普通船員,福島県,19900
321,2015-02-01,2016-01-31,潜水士,福島県,40700
322,2015-02-01,2016-01-31,潜水連絡員,福島県,25200
323,2015-02-01,2016-01-31,潜水送気員,福島県,25700
324,2015-02-01,2016-01-31,山林砂防工,福島県,
325,2015-02-01,2016-01-31,軌道工,福島県,31600
326,2015-02-01,2016-01-31,型わく工,福島県,20800
327,2015-02-01,2016-01-31,大工,福島県,23100
328,2015-02-01,2016-01-31,左官,福島県,21700
329,2015-02-01,2016-01-31,配管工,福島県,18700
330,2015-02-01,2016-01-31,はつり工,福島県,20100
331,2015-02-01,2016-01-31,防水工,福島県,21500
332,2015-02-01,2016-01-31,板金工,福島県,21200
333,2015-02-01,2016-01-31,タイル工,福島県,19600
334,2015-02-01,2016-01-31,サッシ工,福島県,22500
335,2015-02-01,2016-01-31,内装工,福島県,21500
336,2015-02-01,2016-01-31,ガラス工,福島県,19100
337,2015-02-01,2016-01-31,建具工,福島県,16400
338,2015-02-01,2016-01-31,ダクト工,福島県,17300
339,2015-02-01,2016-01-31,保温工,福島県,18800
340,2015-02-01,2016-01-31,設備機械工,福島県,17900
341,2015-02-01,2016-01-31,交通誘導警備員A,福島県,12200
342,2015-02-01,2016-01-31,交通誘導警備員B,福島県,10500
343,2015-02-01,2016-01-31,特殊作業員,茨城県,19400
344,2015-02-01,2016-01-31,普通作業員,茨城県,17200
345,2015-02-01,2016-01-31,軽作業員,茨城県,12600
346,2015-02-01,2016-01-31,造園工,茨城県,19400
347,2015-02-01,2016-01-31,法面工,茨城県,21900
348,2015-02-01,2016-01-31,とび工,茨城県,23100
349,2015-02-01,2016-01-31,石工,茨城県,24500
350,2015-02-01,2016-01-31,ブロック工,茨城県,22700
351,2015-02-01,2016-01-31,電工,茨城県,19200
352,2015-02-01,2016-01-31,鉄筋工,茨城県,22800
353,2015-02-01,2016-01-31,鉄骨工,茨城県,21300
354,2015-02-01,2016-01-31,塗装工,茨城県,22600
355,2015-02-01,2016-01-31,溶接工,茨城県,25500
356,2015-02-01,2016-01-31,運転手（特殊）,茨城県,21000
357,2015-02-01,2016-01-31,運転手（一般）,茨城県,17300
358,2015-02-01,2016-01-31,潜かん工,茨城県,26600
359,2015-02-01,2016-01-31,潜かん世話役,茨城県,31600
360,2015-02-01,2016-01-31,さく岩工,茨城県,24500
361,2015-02-01,2016-01-31,トンネル特殊工,茨城県,25800
362,2015-02-01,2016-01-31,トンネル作業員,茨城県,21900
363,2015-02-01,2016-01-31,トンネル世話役,茨城県,28800
364,2015-02-01,2016-01-31,橋りょう特殊工,茨城県,26900
365,2015-02-01,2016-01-31,橋りょう塗装工,茨城県,28000
366,2015-02-01,2016-01-31,橋りょう世話役,茨城県,30100
367,2015-02-01,2016-01-31,土木一般世話役,茨城県,21800
368,2015-02-01,2016-01-31,高級船員,茨城県,28900
369,2015-02-01,2016-01-31,普通船員,茨城県,21700
370,2015-02-01,2016-01-31,潜水士,茨城県,34300
371,2015-02-01,2016-01-31,潜水連絡員,茨城県,22000
372,2015-02-01,2016-01-31,潜水送気員,茨城県,24000
373,2015-02-01,2016-01-31,山林砂防工,茨城県,25500
374,2015-02-01,2016-01-31,軌道工,茨城県,41000
375,2015-02-01,2016-01-31,型わく工,茨城県,22500
376,2015-02-01,2016-01-31,大工,茨城県,23400
377,2015-02-01,2016-01-31,左官,茨城県,24000
378,2015-02-01,2016-01-31,配管工,茨城県,20200
379,2015-02-01,2016-01-31,はつり工,茨城県,22600
380,2015-02-01,2016-01-31,防水工,茨城県,24200
381,2015-02-01,2016-01-31,板金工,茨城県,24200
382,2015-02-01,2016-01-31,タイル工,茨城県,
383,2015-02-01,2016-01-31,サッシ工,茨城県,23200
384,2015-02-01,2016-01-31,内装工,茨城県,25000
385,2015-02-01,2016-01-31,ガラス工,茨城県,22400
386,2015-02-01,2016-01-31,建具工,茨城県,21800
387,2015-02-01,2016-01-31,ダクト工,茨城県,20200
388,2015-02-01,2016-01-31,保温工,茨城県,20800
